"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"admins","admin_id","uuid","NOT NULL","null","PK","null","null","4","0","","0",""
"admins","user_id","uuid","NULL","null","","users","id","4","0","","0",""
"admins","created_at","timestamp without time zone","NULL","now()","","null","null","4","0","","0",""
"admins","updated_at","timestamp without time zone","NULL","now()","","null","null","4","0","","0",""
"age_groups","age_group_id","uuid","NOT NULL","null","PK","null","null","2","0","","0",""
"age_groups","age_group_name","text","NULL","null","","null","null","2","0","","0",""
"app_subscription_payments","payment_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
"app_subscription_payments","subscription_id","uuid","NULL","null","","app_subscriptions","subscription_id","7","0","","0",""
"app_subscription_payments","subscription_id","uuid","NULL","null","","app_subscriptions","subscription_id","7","0","","0",""
"app_subscription_payments","payment_date","date","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","amount","numeric","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","status","text","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","created_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"app_subscription_payments","updated_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"app_subscriptions","subscription_id","uuid","NOT NULL","null","PK","null","null","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","start_date","date","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","end_date","date","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","monthly_fee","numeric","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","status","text","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","created_at","timestamp without time zone","NULL","now()","","null","null","8","0","","0",""
"app_subscriptions","updated_at","timestamp without time zone","NULL","now()","","null","null","8","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","created_at","timestamp with time zone","NULL","now()","","null","null","4","0","","0",""
"athlete_coach","updated_at","timestamp with time zone","NULL","now()","","null","null","4","0","","0",""
"athletes","athlete_id","uuid","NOT NULL","null","PK","null","null","17","0","","0",""
"athletes","first_name","text","NULL","null","","null","null","17","0","","0",""
"athletes","last_name","text","NULL","null","","null","null","17","0","","0",""
"athletes","date_of_birth","date","NULL","null","","null","null","17","0","","0",""
"athletes","gender","text","NULL","null","","null","null","17","0","","0",""
"athletes","nationality","text","NULL","null","","null","null","17","0","","0",""
"athletes","email","text","NULL","null","","null","null","17","0","","0",""
"athletes","address","text","NULL","null","","null","null","17","0","","0",""
"athletes","city","text","NULL","null","","null","null","17","0","","0",""
"athletes","country","text","NULL","null","","null","null","17","0","","0",""
"athletes","phone_number","text","NULL","null","","null","null","17","0","","0",""
"athletes","notes","text","NULL","null","","null","null","17","0","","0",""
"athletes","photo","text","NULL","null","","null","null","17","0","","0",""
"athletes","parent_id","uuid","NULL","null","","parents","parent_id","17","0","","0",""
"athletes","parent_id","uuid","NULL","null","","parents","parent_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","club_id","uuid","NULL","null","","clubs","club_id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","user_id","uuid","NULL","null","","users","id","17","0","","0",""
"athletes","profile_id","uuid","NULL","null","","profiles","id","17","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","club_id","uuid","NOT NULL","null","PK","clubs","club_id","2","0","","0",""
"club_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","2","0","","0",""
"club_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","2","0","","0",""
"club_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","2","0","","0",""
"club_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","2","0","","0",""
"club_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","2","0","","0",""
"club_membership_payments","payment_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
"club_membership_payments","membership_id","uuid","NULL","null","","club_memberships","membership_id","7","0","","0",""
"club_membership_payments","membership_id","uuid","NULL","null","","club_memberships","membership_id","7","0","","0",""
"club_membership_payments","payment_date","date","NULL","null","","null","null","7","0","","0",""
"club_membership_payments","amount","numeric","NULL","null","","null","null","7","0","","0",""
"club_membership_payments","status","text","NULL","null","","null","null","7","0","","0",""
"club_membership_payments","created_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"club_membership_payments","updated_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"club_memberships","membership_id","uuid","NOT NULL","null","PK","null","null","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","start_date","date","NULL","null","","null","null","9","0","","0",""
"club_memberships","end_date","date","NULL","null","","null","null","9","0","","0",""
"club_memberships","monthly_fee","numeric","NULL","null","","null","null","9","0","","0",""
"club_memberships","status","text","NULL","null","","null","null","9","0","","0",""
"club_memberships","created_at","timestamp without time zone","NULL","now()","","null","null","9","0","","0",""
"club_memberships","updated_at","timestamp without time zone","NULL","now()","","null","null","9","0","","0",""
"club_staff","staff_id","uuid","NOT NULL","null","PK","null","null","11","0","","0",""
"club_staff","first_name","text","NULL","null","","null","null","11","0","","0",""
"club_staff","last_name","text","NULL","null","","null","null","11","0","","0",""
"club_staff","email","text","NULL","null","","null","null","11","0","","0",""
"club_staff","phone_number","text","NULL","null","","null","null","11","0","","0",""
"club_staff","address","text","NULL","null","","null","null","11","0","","0",""
"club_staff","city","text","NULL","null","","null","null","11","0","","0",""
"club_staff","country","text","NULL","null","","null","null","11","0","","0",""
"club_staff","photo","text","NULL","null","","null","null","11","0","","0",""
"club_staff","role","text","NULL","null","","null","null","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"clubs","club_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
